date,d_entries,d_exits,station,line
2015-01-01,25404.0,26086.0,86 ST,456
2015-01-02,55702.0,49392.0,86 ST,456
2015-01-03,41031.0,34438.0,86 ST,456
2015-01-04,29698.0,26158.0,86 ST,456
2015-01-05,62678.0,53346.0,86 ST,456
2015-01-06,66082.0,53723.0,86 ST,456
2015-01-07,64752.0,52482.0,86 ST,456
2015-01-08,64361.0,51894.0,86 ST,456
2015-01-09,67827.0,53069.0,86 ST,456
2015-01-10,41120.0,33034.0,86 ST,456
2015-01-11,29866.0,23490.0,86 ST,456
2015-01-12,62573.0,53022.0,86 ST,456
2015-01-13,65282.0,54336.0,86 ST,456
2015-01-14,66039.0,53018.0,86 ST,456
2015-01-15,65717.0,53205.0,86 ST,456
2015-01-16,65875.0,51095.0,86 ST,456
2015-01-17,40907.0,34592.0,86 ST,456
2015-01-18,27541.0,25863.0,86 ST,456
2015-01-19,44957.0,41062.0,86 ST,456
2015-01-20,64811.0,53484.0,86 ST,456
2015-01-21,65573.0,52774.0,86 ST,456
2015-01-22,65912.0,53425.0,86 ST,456
2015-01-23,67134.0,54139.0,86 ST,456
2015-01-24,37894.0,34072.0,86 ST,456
2015-01-25,31265.0,29028.0,86 ST,456
2015-01-26,56446.0,45831.0,86 ST,456
2015-01-27,16955.0,17052.0,86 ST,456
2015-01-28,64996.0,52045.0,86 ST,456
2015-01-29,69205.0,55557.0,86 ST,456
2015-01-30,69354.0,55526.0,86 ST,456
2015-01-31,39484.0,32489.0,86 ST,456
2015-02-01,30368.0,25551.0,86 ST,456
2015-02-02,58051.0,47911.0,86 ST,456
2015-02-03,65619.0,53732.0,86 ST,456
2015-02-04,67581.0,53834.0,86 ST,456
2015-02-05,66817.0,51808.0,86 ST,456
2015-02-06,67571.0,49441.0,86 ST,456
2015-02-07,40620.0,31498.0,86 ST,456
2015-02-08,29714.0,25487.0,86 ST,456
2015-02-09,62378.0,48090.0,86 ST,456
2015-02-10,66344.0,49850.0,86 ST,456
2015-02-11,66933.0,50102.0,86 ST,456
2015-02-12,66415.0,50215.0,86 ST,456
2015-02-13,65522.0,47578.0,86 ST,456
2015-02-14,38486.0,30327.0,86 ST,456
2015-02-15,28405.0,23259.0,86 ST,456
2015-02-16,37427.0,28688.0,86 ST,456
2015-02-17,60860.0,46843.0,86 ST,456
2015-02-20,61936.0,51013.0,86 ST,456
2015-02-21,38280.0,32616.0,86 ST,456
2015-02-22,28478.0,26917.0,86 ST,456
2015-02-23,62966.0,51596.0,86 ST,456
2015-02-24,64900.0,54218.0,86 ST,456
2015-02-25,66636.0,54341.0,86 ST,456
2015-02-26,65911.0,55969.0,86 ST,456
2015-02-27,67581.0,55786.0,86 ST,456
2015-02-28,40553.0,34779.0,86 ST,456
2015-03-01,28434.0,91706.0,86 ST,456
2015-03-03,65973.0,55355.0,86 ST,456
2015-03-04,66897.0,55444.0,86 ST,456
2015-03-05,62077.0,51772.0,86 ST,456
2015-03-06,69267.0,57663.0,86 ST,456
2015-03-07,44236.0,39191.0,86 ST,456
2015-03-08,28152.0,28389.0,86 ST,456
2015-03-09,63235.0,52211.0,86 ST,456
2015-03-10,68844.0,59049.0,86 ST,456
2015-03-11,69016.0,57284.0,86 ST,456
2015-03-12,69584.0,59249.0,86 ST,456
2015-03-13,69008.0,60617.0,86 ST,456
2015-03-14,42165.0,40307.0,86 ST,456
2015-03-15,35847.0,33909.0,86 ST,456
2015-03-16,60420.0,50992.0,86 ST,456
2015-03-17,66657.0,56175.0,86 ST,456
2015-03-18,65816.0,54708.0,86 ST,456
2015-03-19,64661.0,54416.0,86 ST,456
2015-03-20,63723.0,55519.0,86 ST,456
2015-03-21,46672.0,52066.0,86 ST,456
2015-03-22,38164.0,45446.0,86 ST,456
2015-03-23,60666.0,52517.0,86 ST,456
2015-03-24,63219.0,54073.0,86 ST,456
2015-03-25,64382.0,53578.0,86 ST,456
2015-03-26,63965.0,53788.0,86 ST,456
2015-03-27,64769.0,57180.0,86 ST,456
2015-03-28,49415.0,54427.0,86 ST,456
2015-03-29,40222.0,47225.0,86 ST,456
2015-03-30,64058.0,55193.0,86 ST,456
2015-03-31,68678.0,59183.0,86 ST,456
2015-04-01,68442.0,57600.0,86 ST,456
2015-04-02,69402.0,59009.0,86 ST,456
2015-04-03,59089.0,56043.0,86 ST,456
2015-04-04,49772.0,40394.0,86 ST,456
2015-04-05,38874.0,32156.0,86 ST,456
2015-04-06,60167.0,53147.0,86 ST,456
2015-04-07,65186.0,57037.0,86 ST,456
2015-04-08,66004.0,56456.0,86 ST,456
2015-04-09,66423.0,57334.0,86 ST,456
2015-04-10,66005.0,56928.0,86 ST,456
2015-04-11,45846.0,42753.0,86 ST,456
2015-04-12,35064.0,32571.0,86 ST,456
2015-04-13,62591.0,53573.0,86 ST,456
2015-04-14,67412.0,56343.0,86 ST,456
2015-04-15,68732.0,57298.0,86 ST,456
2015-04-16,69515.0,57452.0,86 ST,456
2015-04-17,68881.0,59616.0,86 ST,456
2015-04-18,56140.0,45369.0,86 ST,456
2015-04-19,44762.0,36432.0,86 ST,456
2015-04-20,64494.0,54924.0,86 ST,456
2015-04-21,67362.0,56641.0,86 ST,456
2015-04-22,69408.0,57920.0,86 ST,456
2015-04-23,69846.0,58536.0,86 ST,456
2015-04-24,69677.0,60214.0,86 ST,456
2015-04-25,50876.0,54740.0,86 ST,456
2015-04-26,39750.0,45624.0,86 ST,456
2015-04-27,64808.0,56079.0,86 ST,456
2015-04-28,68284.0,56998.0,86 ST,456
